id,title,status,study_type,phases,has_results,source
NCT01807299,The Effect of Physical Training and the Omega 3 Consumption on Attention Deficit Hyperactivity Disorder in Children,COMPLETED,INTERVENTIONAL,NA,true,ClinicalTrials.gov
NCT07665658,"Effectiveness of Neuroplasticity-Targeted Supplements on Neuroinflammatory Markers, ADHD Symptom Severity, and Clinical Scores in Children",RECRUITING,INTERVENTIONAL,NA,false,ClinicalTrials.gov
NCT07419659,Effects of Lactic Acid Bacteria in Patients With Attention-Deficit/Hyperactivity Disorder,ENROLLING_BY_INVITATION,INTERVENTIONAL,NA,false,ClinicalTrials.gov
NCT03730194,A SMART Design to Improve Sleep Disturbance in Adolescents With Neurodevelopmental Disorders,COMPLETED,INTERVENTIONAL,NA,true,ClinicalTrials.gov
NCT06542146,Impact of Dietary Intervention on Children of ADHD at Sohag University Hospital,UNKNOWN,INTERVENTIONAL,NA,false,ClinicalTrials.gov
NCT00418184,The Efficacy and Safety of Phosphatidylserine-Omega3 in Children With Attention-Deficit/ Hyperactivity Disorder,COMPLETED,INTERVENTIONAL,PHASE2,true,ClinicalTrials.gov
NCT02333149,Melatonin in Youth: N-of-1 Trials in a Stimulant-treated Attention Deficit Hyperactivity Disorder (ADHD) Population,WITHDRAWN,INTERVENTIONAL,PHASE3,false,ClinicalTrials.gov
NCT06348121,Impact of Probiotics on Children With ADHD,COMPLETED,INTERVENTIONAL,NA,false,ClinicalTrials.gov
NCT03749824,Investigation of Psychophysiological Response to Aversive Stimuli Over Time With Omega-3,COMPLETED,INTERVENTIONAL,NA,false,ClinicalTrials.gov
NCT00704990,Combination Natural Health Product in Children With Attention Deficit/Hyperactivity Disorder (ADHD),COMPLETED,INTERVENTIONAL,PHASE2|PHASE3,false,ClinicalTrials.gov
NCT02897570,Metabolic and Neurofunctional Responses to Breakfasts,COMPLETED,INTERVENTIONAL,NA,false,ClinicalTrials.gov
NCT02315651,Efficacy of Combined Treatment With CoQ10 and Methylphenidate in Children With Attention Deficit Hyperactivity Disorder,UNKNOWN,INTERVENTIONAL,NA,false,ClinicalTrials.gov
NCT01750307,The Relationship of Essential Fatty Acids to Adult ADHD: The OCEAN Study (Oils and Cognitive Effects in Adult ADHD Neurodevelopment),UNKNOWN,INTERVENTIONAL,NA,false,ClinicalTrials.gov
NCT02248948,Superiority of Omega-3 Versus Placebo on the Improvement of ADHD in Children,COMPLETED,INTERVENTIONAL,NA,false,ClinicalTrials.gov
NCT03368690,Therapeutic Effects of Pine Bark Extracts in Attention Deficit Hyperactivity Disorder,COMPLETED,INTERVENTIONAL,NA,false,ClinicalTrials.gov
NCT00819429,Supplements and Social Skills Intervention Study,COMPLETED,INTERVENTIONAL,NA,false,ClinicalTrials.gov
NCT07521449,Effects of Phosphatidylserine and DHA on Cognitive Performance in Children With ADHD,COMPLETED,INTERVENTIONAL,NA,false,ClinicalTrials.gov
NCT06226584,Multi-strain Probiotics for ADHD,UNKNOWN,INTERVENTIONAL,NA,false,ClinicalTrials.gov
NCT01855984,Tocotrienols for School-going Children With ADHD,COMPLETED,INTERVENTIONAL,PHASE2|PHASE3,false,ClinicalTrials.gov
NCT01862484,Neuroimaging of Diet in ADHD: Phase I,COMPLETED,INTERVENTIONAL,NA,true,ClinicalTrials.gov
NCT03533556,Effects of L-theanine and Caffeine on Attention and Attention-related Brain Activity of Children With Attention Deficit Hyperactivity Disorder,COMPLETED,INTERVENTIONAL,EARLY_PHASE1,false,ClinicalTrials.gov
NCT03103750,Vitamin D as a Therapeutic Adjunct in the Stimulant Treatment of ADHD,COMPLETED,INTERVENTIONAL,PHASE1,true,ClinicalTrials.gov
NCT01109849,Novel Approach to Stimulant Induced Weight Suppression and Its Impact on Growth,COMPLETED,INTERVENTIONAL,PHASE3,true,ClinicalTrials.gov
NCT02911194,a2 Milk for Autism and Attention-deficit Hyperactivity Disorder (ADHD),COMPLETED,INTERVENTIONAL,NA,false,ClinicalTrials.gov
NCT07459699,Effects of Probiotics on the Gut-brain Axis in Children,RECRUITING,INTERVENTIONAL,NA,false,ClinicalTrials.gov
NCT06491836,Oligoantigenic Diet and Core Symptomatology of Children With Attention-Deficit /Hyperactivity Disorder (ADHD).,COMPLETED,INTERVENTIONAL,NA,false,ClinicalTrials.gov
NCT01853280,L-methylfolate Supplementation to OROS-Methylphenidate Pharmacotherapy in ADHD Adults,COMPLETED,INTERVENTIONAL,PHASE2|PHASE3,true,ClinicalTrials.gov
NCT01778647,Omega-3 Fatty Acids as an Adjunctive Therapy for Stimulants in Children With ADHD,TERMINATED,INTERVENTIONAL,PHASE4,false,ClinicalTrials.gov
NCT03495375,Treating Impulsivity in Adults With Probiotics,COMPLETED,INTERVENTIONAL,NA,false,ClinicalTrials.gov
NCT02986672,Intervention With Omega-3 in Children With Attention Deficit Hyperactivity Disorder(ADHD),COMPLETED,INTERVENTIONAL,NA,false,ClinicalTrials.gov
NCT04333394,Effectiveness of Probiotic Supplement In Improving Attention Deficit Hyperactivity Disorder Symptoms,UNKNOWN,INTERVENTIONAL,NA,false,ClinicalTrials.gov
NCT07777328,The Effect of 5-hydroxytryptophan on ADHD Traits and Eye Movements,RECRUITING,INTERVENTIONAL,NA,false,ClinicalTrials.gov
NCT02700685,Effect of Pycnogenol® on ADHD,COMPLETED,INTERVENTIONAL,PHASE3,false,ClinicalTrials.gov
NCT06594536,Study of the Efficacy of Sulforaphane in Children Aged 6 to 12 With Attention Deficit Disorder With or Without Hyperactivity,NOT_YET_RECRUITING,INTERVENTIONAL,NA,false,ClinicalTrials.gov
NCT02114632,Supplementation of Polyunsaturated Fatty Acids in Children With Attention Deficit/Hyperactivity Disorder (ADHD),COMPLETED,INTERVENTIONAL,PHASE1|PHASE2,false,ClinicalTrials.gov
NCT07165509,"Neuro-Nutrition to Support Physiological Function and Cognitive Skills in People With Down Syndrome, Autism Spectrum Disorder, and ADHD",COMPLETED,INTERVENTIONAL,NA,false,ClinicalTrials.gov
NCT04144790,Impact of Iron Supplementation Treatment on Brain Iron Concentrations,COMPLETED,OBSERVATIONAL,,false,ClinicalTrials.gov
NCT03115671,Efficacy Study of Vayarin in Children With Autism and Comorbid Attention Deficit Hyperactivity Disorder (ADHD),COMPLETED,INTERVENTIONAL,NA,false,ClinicalTrials.gov
NCT06133231,Optimizing Research With Diverse Families - Feasibility and Acceptability Study (FAST),RECRUITING,INTERVENTIONAL,NA,false,ClinicalTrials.gov
NCT01796262,The Effects of DHA on Attention Deficit and Hyperactivity Disorder,COMPLETED,INTERVENTIONAL,PHASE3,false,ClinicalTrials.gov
NCT00700323,PS-Omega3 Supplementation to Attention Deficit Hyperactivity Disorder (ADHD) Children,UNKNOWN,INTERVENTIONAL,PHASE2,false,ClinicalTrials.gov
NCT06005506,National Multicenter Interventional Study Aimed at Evaluating the Effect on the Intestinal Microbiota in Chronically Frail Patients Who Share Alterations in Intestinal Function.,COMPLETED,INTERVENTIONAL,NA,false,ClinicalTrials.gov
NCT04962334,Effect of Nutritional Formula Supplementation on Growth of Prepubertal Children Treated With Stimulants Medications for Attention Deficit Hyperactivity Disorder (ADHD),UNKNOWN,INTERVENTIONAL,NA,false,ClinicalTrials.gov
NCT00770627,Clinical Trial to Evaluate the Efficacy and the Tolerance of an Omega 3 Fatty Acids Supplementation in ADHD Children,UNKNOWN,INTERVENTIONAL,PHASE4,false,ClinicalTrials.gov
NCT07717359,"ADHD, Gut Problems and Synbiotic",NOT_YET_RECRUITING,INTERVENTIONAL,NA,false,ClinicalTrials.gov
NCT01798381,Essential Fatty Acids in Adult ADHD,COMPLETED,INTERVENTIONAL,PHASE3,false,ClinicalTrials.gov
NCT07189442,L-theanine and Paraxanthine for Cognitive Improvement in Adults With ADHD and ASD,COMPLETED,INTERVENTIONAL,NA,false,ClinicalTrials.gov
NCT00414921,Preschool Supplement to Clonidine in ADHD (Kiddie-CAT),COMPLETED,INTERVENTIONAL,PHASE2,false,ClinicalTrials.gov
NCT01777048,Omega-3 Fatty Acids Supplementation in ADHD,TERMINATED,INTERVENTIONAL,PHASE3,false,ClinicalTrials.gov
NCT05234593,Feasibility and Acceptability of Powdered Multinutrient Formula,COMPLETED,INTERVENTIONAL,NA,false,ClinicalTrials.gov
NCT01219309,Omega-3/Omega-6 Fatty Acids for Attention-Deficit/Hyperactivity Disorder (ADHD): A Trial in Children and Adolescents,COMPLETED,INTERVENTIONAL,PHASE3,false,ClinicalTrials.gov
NCT01040702,The Effect of Methylphenidate on Decision-making Ability of Attention Deficit Hyperactivity Disorder (ADHD) Adults,COMPLETED,INTERVENTIONAL,PHASE1,false,ClinicalTrials.gov
NCT02204410,Omega-3 Supplementation to ADHD Medication in Children,COMPLETED,INTERVENTIONAL,PHASE4,true,ClinicalTrials.gov
NCT05476549,Effects of Lemon Verbena Extract Supplementation in Sub-ADHD Children,COMPLETED,INTERVENTIONAL,NA,false,ClinicalTrials.gov
NCT07333339,A Brain-Computer Interface-Based Attention Training Program Compared With Methylphenidate and Citicoline,COMPLETED,OBSERVATIONAL,,false,ClinicalTrials.gov
NCT07364331,"Omega-3 Fatty Acids, Neuroendocrine and Attention Deficit Hyperactivity Disorder (OMNeADHD)",RECRUITING,INTERVENTIONAL,NA,false,ClinicalTrials.gov
NCT03542643,Omega-3 Polyunsaturated Fatty Acids in Youth With ADHD,COMPLETED,INTERVENTIONAL,NA,false,ClinicalTrials.gov
NCT04779632,Fish Oil Affects Cognition and ADHD Symptoms in Adults With Autism Spectrum Disorder,COMPLETED,INTERVENTIONAL,NA,false,ClinicalTrials.gov
NCT00874536,Omega-3 Supplementation and Attention-deficit-hyperactivity Disorder (ADHD),COMPLETED,INTERVENTIONAL,NA,false,ClinicalTrials.gov
NCT07348562,"Omega-3, Inflammation in ADHD With AI",COMPLETED,INTERVENTIONAL,NA,false,ClinicalTrials.gov
NCT06235177,Psychoneuromentalism Disorder: A Medical Condition That Affects People With Psychological Impairments From Health Issues,UNKNOWN,INTERVENTIONAL,EARLY_PHASE1,false,ClinicalTrials.gov
NCT07380412,A Study to Evaluate the Effects of a Supplement on the Side Effects Associated With Stimulant Medications,RECRUITING,INTERVENTIONAL,NA,false,ClinicalTrials.gov
NCT07363551,"Omega-3 Fatty Acids, Inflammation, Gut Microbiota in Youth With Depression",RECRUITING,INTERVENTIONAL,NA,false,ClinicalTrials.gov
NCT06698588,Symptom-specific Effects of Omega-3 Across Neurodevelopmental Symptoms,COMPLETED,INTERVENTIONAL,NA,false,ClinicalTrials.gov
NCT02545634,Effects of a Probiotic Supplement on Symptoms of Attention Deficit Hyperactivity Disorder and Anxiety in Children,UNKNOWN,INTERVENTIONAL,PHASE4,false,ClinicalTrials.gov
NCT06560359,RCT on the Neurobehavioral Effects of Fruits and Vegetables in Shanghai Children,COMPLETED,INTERVENTIONAL,NA,false,ClinicalTrials.gov
NCT02893852,Effects of CO-OP Approach on Activity and Participation of Brazilian Children With Developmental Coordination Disorder,COMPLETED,INTERVENTIONAL,NA,false,ClinicalTrials.gov
NCT07061470,A Clinical Trial of Iron Supplementation for Youth With ADHD and Restless Sleep,NOT_YET_RECRUITING,INTERVENTIONAL,PHASE1|PHASE2,false,ClinicalTrials.gov
NCT03252522,Micronutrients for Attention-Deficit Hyperactivity Disorder in Youth (MADDY) Study,COMPLETED,INTERVENTIONAL,PHASE1|PHASE2,true,ClinicalTrials.gov
NCT02391428,The Correlation Between Blood omega3 and ADHD,UNKNOWN,INTERVENTIONAL,EARLY_PHASE1,false,ClinicalTrials.gov
NCT01856686,Neurocognitive and Neurobiological Improvement in ADHD Children by Modification of Dietary Protein,COMPLETED,INTERVENTIONAL,EARLY_PHASE1,true,ClinicalTrials.gov
NCT01795040,Efficacy of Omega-3/Omega-6 Fatty Acids in Pre-school Children at Risk for ADHD,UNKNOWN,INTERVENTIONAL,NA,false,ClinicalTrials.gov
NCT02908802,Probiotic Supplement as Treatment for Students With ADHD,UNKNOWN,INTERVENTIONAL,NA,false,ClinicalTrials.gov
NCT05155696,Probiotic Supplementation in Children With ADHD,COMPLETED,INTERVENTIONAL,NA,false,ClinicalTrials.gov
NCT00561340,Study of the Effect of Calorie Supplementation on Growth in Young Children on ADHD Medication,COMPLETED,INTERVENTIONAL,NA,true,ClinicalTrials.gov
NCT02614599,Neurocognitive and Neurobiological Improvement in ADHD Children With High Protein Diet,COMPLETED,INTERVENTIONAL,EARLY_PHASE1,false,ClinicalTrials.gov
NCT05167110,Nutritional Intervention for Children With ASD and/or ADHD,COMPLETED,INTERVENTIONAL,NA,false,ClinicalTrials.gov
NCT03439111,Standardized Lycium Chinense Fruit Extract Enhances Attention and Cognitive Function in Healthy Young People,COMPLETED,INTERVENTIONAL,NA,false,ClinicalTrials.gov
NCT01554462,The Effects of EPA/DHA Supplementation on Cognitive Control in Children With ADHD,COMPLETED,INTERVENTIONAL,NA,false,ClinicalTrials.gov
NCT01340690,Efficacy Study of Polyunsaturated Fatty Acids in Children and Adolescents With Attention Deficit/ Hyperactivity Disorder,TERMINATED,INTERVENTIONAL,PHASE3,false,ClinicalTrials.gov
NCT04284059,Adjuvant Effects of Vitamin A and Vitamin D Supplementation on Treatment of Children With ADHD,UNKNOWN,INTERVENTIONAL,PHASE4,false,ClinicalTrials.gov
NCT01022229,The Safety and Efficacy of a Compound Natural Health Product in Children With Attention Deficit Hyperactivity Disorder (ADHD),COMPLETED,INTERVENTIONAL,PHASE3,false,ClinicalTrials.gov
NCT01055119,Effect of Long Chain Polyunsaturated Fatty Acids on Behavior and Cognition in Children With Attention Deficit Hyperactivity Disorder,COMPLETED,INTERVENTIONAL,NA,false,ClinicalTrials.gov
NCT01847521,Effects of the Anti-inflammatory Flavonoid Luteolin on Behavior in Children With Autism Spectrum Disorders,COMPLETED,INTERVENTIONAL,PHASE2,false,ClinicalTrials.gov
